Original URL,New URL,Redirect Type,Phase,Date,Priority,Status,Owner,Notes,Backlinks,Linking Sites
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/,https://mvgm-vvebeheer.nl/,301,2,16-02-2026,Critical,Ready,Brightlot,Main entry point - homepage redirect,43,14
https://mvgm.com/nl/vastgoeddiensten/vve-beheer,https://mvgm-vvebeheer.nl/,301,2,16-02-2026,Critical,Ready,Ronald,Without trailing slash variant,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/contactformulier-vve/,https://mvgm-vvebeheer.nl/contact/,301,2,16-02-2026,Critical,NEW - FROM GSC,Ronald,Contact form page - HIGH BACKLINK VALUE,8,1
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/amsterdam/,https://mvgm-vvebeheer.nl/amsterdam/,301,3,23-02-2026,High,Ready,Ronald,City page,6,2
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/breda/,https://mvgm-vvebeheer.nl/breda/,301,3,23-02-2026,High,Ready,Ronald,City page,5,4
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/offerte-aanvraag/,https://mvgm-vvebeheer.nl/offerte-aanvraag/,301,2,16-02-2026,Critical,Ready,Ronald,Main quote request,4,2
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/ik-ben-al-klant-mijn-vve/,https://mvgm-vvebeheer.nl/ik-ben-al-klant-mijn-vve/,301,2,16-02-2026,High,Ready,Ronald,Customer portal,4,2
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/den-haag-rijswijk/,https://mvgm-vvebeheer.nl/den-haag-rijswijk/,301,3,23-02-2026,High,Ready,Ronald,City page,4,2
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/almere/,https://mvgm-vvebeheer.nl/almere/,301,3,23-02-2026,High,Ready,Ronald,City page,3,1
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/automatische-incasso/,https://mvgm-vvebeheer.nl/automatische-incasso/,301,2,16-02-2026,High,Ready,Ronald,Direct debit info,2,1
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/den-bosch/,https://mvgm-vvebeheer.nl/den-bosch/,301,3,23-02-2026,High,Ready,Ronald,City page,2,1
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/den-haag/,https://mvgm-vvebeheer.nl/den-haag/,301,3,23-02-2026,High,Ready,Ronald,City page,2,1
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/eindhoven/,https://mvgm-vvebeheer.nl/eindhoven/,301,3,23-02-2026,High,Ready,Ronald,City page,2,2
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/groningen/,https://mvgm-vvebeheer.nl/groningen/,301,3,23-02-2026,High,Ready,Ronald,City page,2,2
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/rotterdam/,https://mvgm-vvebeheer.nl/rotterdam/,301,3,23-02-2026,High,Ready,Ronald,City page,2,2
https://mvgm.com/nl/mvgm-neemt-actys-wonen-en-actys-vve/,https://mvgm-vvebeheer.nl/nieuws/mvgm-neemt-actys-wonen-en-actys-vve/,301,1,09-02-2026,Medium,NEW - FROM GSC,Ronald,News article - Actys acquisition,2,2
https://mvgm.com/nl/vve-beheer-veelgestelde-vragen/,https://mvgm-vvebeheer.nl/faq/,301,2,16-02-2026,High,NEW - FROM GSC,Ronald,FAQ overview page,2,2
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/arnhem/,https://mvgm-vvebeheer.nl/arnhem/,301,3,23-02-2026,Medium,Ready,Ronald,City page,1,1
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/enschede/,https://mvgm-vvebeheer.nl/enschede/,301,3,23-02-2026,Medium,Ready,Ronald,City page,1,1
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/limmen/,https://mvgm-vvebeheer.nl/limmen/,301,3,23-02-2026,Medium,Ready,Ronald,City page,1,1
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/maastricht/,https://mvgm-vvebeheer.nl/maastricht/,301,3,23-02-2026,Medium,Ready,Ronald,City page,1,1
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/managementteam-mvgm-vve/,https://mvgm-vvebeheer.nl/over-ons/managementteam-mvgm-vve/,301,2,16-02-2026,Medium,Ready,Ronald,Team page,1,1
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/mvgm-vve-regio-zuid-oost/,https://mvgm-vvebeheer.nl/zuid-oost/,301,3,23-02-2026,Medium,Ready,Ronald,Region page,1,1
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/mvgm-vve-regio-zuid-west/,https://mvgm-vvebeheer.nl/zuid-west/,301,3,23-02-2026,Medium,Ready,Ronald,Region page,1,1
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/nijmegen/,https://mvgm-vvebeheer.nl/nijmegen/,301,3,23-02-2026,Medium,Ready,Ronald,City page,1,1
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/utrecht/,https://mvgm-vvebeheer.nl/utrecht/,301,3,23-02-2026,Medium,Ready,Ronald,City page,1,1
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/verduurzaming/,https://mvgm-vvebeheer.nl/vve/duurzaamheid-esg/,301,3,23-02-2026,Low,NEW - FROM GSC,Ronald,Sustainability parent page,1,1
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/vve-whatsapp/,https://mvgm-vvebeheer.nl/contact/,301,2,16-02-2026,Low,NEW - FROM GSC,Ronald,WhatsApp contact page,1,1
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/zwolle/,https://mvgm-vvebeheer.nl/zwolle/,301,3,23-02-2026,Medium,Ready,Ronald,City page,1,1
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/vve-beheer-premium/,https://mvgm-vvebeheer.nl/pakket/premium/,301,2,16-02-2026,Critical,Ready,Ronald,Package page,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/vve-beheer-plus/,https://mvgm-vvebeheer.nl/pakket/plus/,301,2,16-02-2026,Critical,Ready,Ronald,Package page,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/vve-beheer-start/,https://mvgm-vvebeheer.nl/pakket/start/,301,2,16-02-2026,Critical,Ready,Ronald,Package page,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/vve-beheer-excellent/,https://mvgm-vvebeheer.nl/pakket/excellent/,301,2,16-02-2026,Critical,Ready,Ronald,Package page,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/vve-beheer-selectief/,https://mvgm-vvebeheer.nl/pakket/selectief/,301,2,16-02-2026,Critical,Ready,Ronald,Package page,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/compacte-vve-pakketten/,https://mvgm-vvebeheer.nl/pakket/,301,2,16-02-2026,Critical,Ready,Ronald,Package overview,,
https://mvgm.com/nl/vastgoeddiensten/compacte-vve-pakketten/,https://mvgm-vvebeheer.nl/pakket/,301,2,16-02-2026,Critical,Ready,Ronald,Alternative path to packages,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/extra-producten/,https://mvgm-vvebeheer.nl/pakket/additionele-diensten/,301,2,16-02-2026,High,Ready,Ronald,Add-on services,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/vve-beheer-klein-compleet/,https://mvgm-vvebeheer.nl/pakket/,301,2,09-02-2026,Medium,Ready,Ronald,Discontinued package,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/offerte-aanvraag,https://mvgm-vvebeheer.nl/offerte-aanvraag/,301,2,16-02-2026,Critical,Ready,Ronald,Without trailing slash,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/offerte-aanvraag/?vve-keuzes=VvE%20Beheer%20Excellent,https://mvgm-vvebeheer.nl/pakket/excellent/offerte/,301,2,16-02-2026,High,Ready,Ronald,Package-specific quote,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/offerte-aanvraag/?vve-keuzes=VvE%20Beheer%20Start,https://mvgm-vvebeheer.nl/pakket/start/offerte/,301,2,16-02-2026,High,Ready,Ronald,Package-specific quote,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/offerte-aanvraag/?vve-keuzes=VvE%20Beheer%20Premium,https://mvgm-vvebeheer.nl/pakket/premium/offerte/,301,2,16-02-2026,High,Ready,Ronald,Package-specific quote,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/offerte-aanvraag/?vve-keuzes=VvE%20Beheer%20Plus,https://mvgm-vvebeheer.nl/pakket/plus/offerte/,301,2,16-02-2026,High,Ready,Ronald,Package-specific quote,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/offerte-aanvraag/?vve-keuzes=VvE%20Beheer%20Selectief,https://mvgm-vvebeheer.nl/pakket/selectief/offerte/,301,2,16-02-2026,High,Ready,Ronald,Package-specific quote,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/offerte-aanvraag/?vve-keuzes=VvE%20Beheer%20Klein%20Compleet,https://mvgm-vvebeheer.nl/pakket/,301,2,09-02-2026,Medium,Ready,Ronald,Discontinued package quote,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/bedankt-voor-uw-interesse/,https://mvgm-vvebeheer.nl/bedankt/,301,2,16-02-2026,Medium,Ready,Ronald,Thank you page,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/automatische-incasso,https://mvgm-vvebeheer.nl/automatische-incasso/,301,2,16-02-2026,High,Ready,Ronald,Without trailing slash,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/verduurzaming/stappenplan-verduurzamen-van-uw-vve/,https://mvgm-vvebeheer.nl/vve/duurzaamheid-esg/,301,3,23-02-2026,Medium,Ready,Ronald,Sustainability subpage,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/team-bankzaken-crediteuren/,https://mvgm-vvebeheer.nl/over-ons/team-bankzaken-crediteuren/,301,2,16-02-2026,Medium,Ready,Ronald,Team page,,
https://mvgm.com/nl/vastgoeddiensten/vve-beheer/team-schade/,https://mvgm-vvebeheer.nl/over-ons/team-schade/,301,3,23-02-2026,Medium,Ready,Ronald,Team page,,
